epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.7551,1.12504,2.23181,1.07549,0.92753,0.1137,0.45034,0.30101,0.79035,2.70259,0.86059,0.00043342,0.00043342,0.00043342
2,138.561,0.95164,1.24456,1.04495,0.93233,0.36871,0.46778,0.37853,0.78309,2.69634,0.94292,0.000825198,0.000825198,0.000825198
3,210.249,0.92056,1.06969,1.02119,0.9065,0.80161,0.96607,0.732,0.77076,1.81896,1.00933,0.00115756,0.00115756,0.00115756
4,280.592,0.88709,1.01432,1.01924,0.8975,0.9717,0.9437,0.75131,0.65582,1.3114,0.93226,0.00133693,0.00133693,0.00133693
5,370.596,0.86577,0.93841,1.01105,0.90489,0.96278,0.97147,0.72318,0.68543,1.18486,0.94944,0.00122691,0.00122691,0.00122691
6,439.273,0.75388,0.89127,0.95877,0.8909,0.98353,0.96898,0.74613,0.66051,1.00436,0.92555,0.00111689,0.00111689,0.00111689
7,505.669,0.71302,0.81853,0.95894,0.92622,0.98656,0.95593,0.76879,0.59766,0.88144,0.95447,0.00100687,0.00100687,0.00100687
8,573.493,0.68349,0.78618,0.92979,0.92473,0.99246,0.9564,0.79398,0.52735,0.79313,0.92247,0.000896846,0.000896846,0.000896846
9,641.58,0.64205,0.72434,0.92157,0.91417,1,0.93633,0.79088,0.5583,0.83188,0.93795,0.000786824,0.000786824,0.000786824
10,708.857,0.64516,0.68812,0.91941,0.92579,1,0.95086,0.76484,0.56522,0.80697,0.95205,0.000676802,0.000676802,0.000676802
11,781.995,0.62757,0.66222,0.91606,0.91257,0.99471,0.96129,0.80816,0.5483,0.77873,0.92804,0.00056678,0.00056678,0.00056678
12,893.64,0.6046,0.65322,0.90025,0.91108,1,0.96729,0.82432,0.54593,0.74412,0.95051,0.000456758,0.000456758,0.000456758
13,1013.25,0.5787,0.62525,0.89489,0.9034,1,0.94692,0.79499,0.50609,0.77004,0.92087,0.000346736,0.000346736,0.000346736
14,1117.38,0.54337,0.60727,0.88258,0.90068,1,0.95599,0.81162,0.50273,0.73539,0.93691,0.000236714,0.000236714,0.000236714
15,1186.77,0.55556,0.60068,0.88891,0.91175,1,0.96363,0.81822,0.49533,0.69702,0.94418,0.000126692,0.000126692,0.000126692
